Coculture_t24h_Donor1_IL-15-1ng-mL	Coculture_t24h_Donor1_IL-15-1nM	Coculture_t24h_Donor1_IL-15-Monalizumab	Coculture_t24h_Donor1_Mabkine	Coculture_t24h_Donor1_Monalizumab	Coculture_t24h_Donor2_IL-15-1ng-mL	Coculture_t24h_Donor2_IL-15-1nM	Coculture_t24h_Donor2_IL-15-Monalizumab	Coculture_t24h_Donor2_Mabkine	Coculture_t24h_Donor2_Monalizumab	Coculture_t24h_Donor3_IL-15-1ng-mL	Coculture_t24h_Donor3_IL-15-1nM	Coculture_t24h_Donor3_IL-15-Monalizumab	Coculture_t24h_Donor3_Mabkine	Coculture_t24h_Donor3_Monalizumab
C9orf84	38	3	5	9	4.999996	10	2.999998	3.999999	5.000003	8	12	7	4	3	14
C9orf85	174.863	36.5403	68.9	44.9609	38.0783	42.6454	45.3037	47.1895	64.4444	74.2973	43.9212	40.601	54.8951	73.8068	50.9723
C9orf89	961	156	258	408	172	183	201	195	267	302	327	131	143	183	420
C9orf9	26	4	5	11	6	28	6	9	12	23	19	8	9	12	25
C9orf91	236.661	83.8959	144.189	197.338	74.3702	84.6619	167.443	95.7958	143.592	141.457	112.048	105.049	130.721	163.454	138.405
C9orf92	0	0	0	0	0	0	2	0	0	4	0	0	1	0	0
C9orf96	20	16	12	15	3	9	11	0	9	9	7	7	1	6	9
CA1	2.00000297279	0	0	0	1	0	2	0	0	0	1	0	1	0	1.99999784343
CA10	18	2	1	1	2	2	0	1	1	0	5	0	1	0	0
CA11	112.776	33	27.6665	64	20.8753	17.0832	24	30.4143	28.5562	34.4702	23.1656	12	49	41.4832	57
CA12	21.2308	5.292138625	12.3892	9.967086368	11.37648503	7.185710766	5.051595421	8.55430874	6.008077188	7.705992759	10.65054911	8.13228	10.832236664	4.800978698	15.47775518
CA13	153.983	26.971	43.3726	78.0847	38.9265	45.6913	40.4842	27.8705	35.3522	49.2407	58.0278	42.184	43.382	45.523	64.0967
CA14	2	2	5	3	1	2	4	2	1	1	2	3	2	1	2
CA2	0	0	1	12	0	2	0	1	6	1	0	1	0	0	0
CA3	0	0	0	1	0	2	0	0	0	0	0	0	0	0	2
CA4	2	3	1	4	0	0	1	1	1	1	3	4	0	0	1
CA5A	16	4	4	8	2	5	6	4	7	7	11	11	2	2	14
CA5B	602.735	144.622	219.444	279.229	166.525	196.413	153.732	147.625	163.709	243.128	268.909	172.557	174.588	262.333	372.799
CA5BP1	100.372	47.8462	62.9436	85.749	44.5275	19.8164	55.8495	35.0838	57.335	42.9141	27.4623	45.1995	39.4496	82.1591	42.9717
CA6	0	3	2	0	1	4	4	7.000000033607	5	0	4	11.0000449	10	9	0
CA7	20	2	10	4	0	4	3	2	5	3	6	2	6	4	4
CA8	7	1	5	3	0	0	0	1	2	5	1	0	4	0	5
CA9	1	0	8	0	0	0	2	0	2	0	1	0	1	0	0
CAAP1	239.9998	110	147.0003	305	111	107	183.9999	148.0002	295.0003	149.9999	101	123	143.9998	250.9997	92
CAB39	688	337.0001	407.0006	590.0003	271.0003	387.9996	432.9998	437	554.0003	506	282	428.9998	401	614	414.9994
CAB39L	114.00024	22	32	112	12	20	18.99996	40	29	22.00003	20	31	10	37	27.99996
CABIN1	1689.0029	481.9997	672.0000011262	950.0005	436	580.9997	588	740.9998	763.0004	747.0003	625.9995	617.0004	553.9998	919.9992	926.0004
CABLES1	7	3	4	16.0000211	9.0000017	13.0000224	30	14	25.00003	26.0000314	10.00000394	6.9999951	4	16	12
CABLES2	289	73	103	232	43	48	119	100	191	87	38	112	161	181	66
CABP1	0	1	0	0	2	1	2	0	0	0	2.999998	6	0	2	2
CABP2	1	0	0	0	0	0	2	0	1	2	1	0	0	0	1
CABP4	313.365	69.9718	125.11	182.712	94.5837	97.099	108.013	103.752	108.618	115.071	111.23	88.2811	94.1219	146.877	165.976
CABP5	10.0609	0	1.63364	2.48133	1.57167	1.75399	2.60441	3.06414	1.34849	3.18709	4.90972	2.29595	0	1.0179	5.81829
CABP7	13.7232	9.07114	15.1967	2.29765	6.82846	9.00916	13.5592	9.22141	6.86293	5.68902	3.43747	7.92698	3.41806	13.8335	8.04977
CABS1	2	1	0	2	1	1	0	0	0	3	2	0	0	0	0
CABYR	0	0	2	2	1	1	1	0	3	7	0	0	0	2	0
CACFD1	291.82843845	45.90479	77.8322981	101.36631	67.1615	178.9022	84.5987498909	71.825	89.1743	156.3101210261	129.576	119.61211	131.9881	130.8907	322.446
CACHD1	6	1	3	1	2	4	0	0	2	2	0	0	2	1	4
CACNA1A	58.46824	16.943476	21.253256	36.26133	26.21307	46.06628	38.61662	23.18911	28.36081	58.59911	30.86414	30.58003	24.33486	35.04437	47.94073
CACNA1B	8	7.0000000247401	10	5.00464	11	13	7	5	2.37706	9.54181	12.0220000398954	10	4.23556	8	15
CACNA1C	24	2.99999714303	5	7.0000028366625	11.000002030237	3.9999958675776	8.000005855069	5.143419442319	6.000003150878	14.00000111339	12	8.999996498121	15.99999138959	8.9999973409223	14.3254462477
CACNA1C-AS1	8	2	2	1	8	5	0	4.85658	2	6	2	3	1	0	4.67457
CACNA1C-AS4	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
CACNA1C-IT3	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0
CACNA1D	16.9999939004011	0.9999995266156	0.999999957	5.9999974514	7.00000108	8.00000014	0.9999995062	7	3.999999465	0.999999671059	6.00000299	2.000002058	1.0000004867	3.0000043449	6.0000002025578
CACNA1E	11.00002487432	2.999998947	8	5.00000161651	4.00000261548	7.999998	2.99999879473	2.00000164997	11	2.00000003665	9.99999825	7.99999652	4.99999993279	6	4.9999991292
CACNA1F	6	8	0	3	1	1	1	2	2	4	4	1	3	1	2
CACNA1G	17.00000315291	4.00000426266	3.999997742734	4.9999992762537	4.00000046594	4.00000072685	4.99999867722	1.99999724888	5.0000041476	6.999997927991	2.16209297879	4.9999952697	5.00000078681	5.9999975108984	8.0000034791746
CACNA1G-AS1	1	0	2	0	2	0	2	2	0	0	2	2	0	0	1
CACNA1H	8	5.000005	7.000003	1.999998	5.000004	7.999999	1.999998	8.999995	5.000003	13	11.83793	11	3	11.000007	17.99997
CACNA1I	3.9999975732	3.0000014207	6.9999991044	9	4.9999999478	8	1.999995004	4.0000026677	3.0000014373	9.000002171	10.00000002	4.9999953073	2.9999970431	8.0000018929	19
CACNA1S	2	1	3	2	0	4	6	3	0	5	10	6	4	1	8
CACNA2D1	20	1	2	11	6	5	1	4	1	6	5	5	0	10	5
CACNA2D2	45.999965	1	2.0000016	9.9999966	20.999964	13.99996	2.9999989	2.9999964	0.9999997	16.999974	13.000004	6.0000054	1.00000035	8.9999998	19.000016
CACNA2D3	2	0	2	0	5	2	0	0	2	0	3	0	0	1	2
CACNA2D3-AS1	0	0	0	3	0	1	0	0	1	1	2	1	0	0	0
CACNA2D4	175	10	25	93	36	59	37	48	48	69	25	14	12	8	50
CACNB1	87.00001	47.99997	79	117	31	57.99997	56	42.00004	141.00042	29.00003	45	56.00002	97.99996	95	46
CACNB2	58.140485782	14.072097048	33.626951723	31.1843075867343	20.559068	27.837	8.8426396504	14.311775185	10.563490215	39.893914024	32.189505	24.04982	23.603872681	28.10144633	27.147084167
CACNB3	39.00000990901	11.0000179913	10.00000208	16	9	42	12.00000867365	46	50.0000295442	32.000028363	42	35	47.999978	36	48
CACNB4	5	1.0000000247664	2	3	5.0000000514541	3	5.0000000428634	3.0000000711937	0	14.000000156458	3.0000000701387	1	5.0000049265035	11.0000000225914	9
CACNG1	0	0	1	0	1	4	2	5	0	0	0	1	0	2	1
CACNG2	28	9	5	1	9	14	6	2	3	8	15	8	6	10	17
CACNG3	5.48774	2	1	2	3	2	5.76562	2	0	0.478893	1.25707	2.43326	1.69956	1	3
CACNG4	6	3	1	1	0	6	0	0	1	9	2	5	0	1	3
CACNG5	0	0	0	1	0	0	1	1	0	0	1	0	0	0	1
CACNG6	14	0	0	1	0	0	1	0	1	0	1	0	1	1	1
CACNG7	4	0	0	3	3	1	0	1	0	2	2	2	0	2	5
CACNG8	276.523	61.1585	89.3449	134.396	73.0374	78.6376	83.5575	70.438	79.5974	115.624	117.07	128.536	73.7688	109.156	121.588
CACTIN	289.00008	97	139.121	244.99979	65	60	98.62196	133	153.82332	111	64.00001	86	106.76339	156.75378	130
CACTIN-AS1	0	0	3.87898	0	0	0	1.37806	0	1.17685	0	0	0	2.23661	1.24582	0
CACUL1	1800.7	457.822	548.762	1048.17	368.991	389.903	611.768	467.265	682.561	598.456	366.441	475.343	448.674	616.214	567.051
CACYBP	2191.063	1428.6159	1785.6201	3027.6968	894.4144	791.8113	1967.3797	2005.1542	2325.2535	1347.0695	529.7243	1496.4984	1315.60769	1928.7689	738.847
CAD	728	757	1286	1789	344	306	1004	1020	1162	445	142	646	762	1000	200
CADM1	10	0	5	1	6	4	8.02845	1	12	3.02424	10.0441	4	2.0000000795953	2	2.000000133644
CADM2	57.66242263608	6.040706052074	9.0457808787947	27.2785281397941	10.051808082342	38.066247635937	6.028077464509	13.057732695184	10.007497844382	15.139620169895	20.134432491337	5.032983449169	10.116632735322	5.0281015842729	39.45932746661
CADM2-AS2	354	76	158	181	127	136	112	92	137	173	163	127	120	155	226
CADM3	4	2	7	1	0	3.27195	2.64234	0	0	1	0	2	2	0	3
CADM4	4	2	2	3	1	2	3	2	3	5	0	2	1	0	2
CADPS	2	2	4	5	1	2	3	0	2	3	3	4	2	5	5
CADPS2	8.04468	0	2.00463	3.00734	0	5.04351	1.00409	1	2.00388	15.0754	6.01813	0	0	1.00365	1.00469
CAGE1	14.2938	2.25165	4.89472	11.7609	2.55457	3.36944	6.71105	8.92742	2.2923	4.23226	8.59033	5.19449	12.0366	1.15583	8.4541
CAHM	2	0	1	7	3	3	2	1	3	3	3	5	1	4	1
CALB1	8	3	2	0	1	6	1	6	2	8	3	0	2	4	5
CALB2	1	0	0	0	0	0	1	0	0	0	2	1	0	0	1
CALCA	0	1	0	0	0	0	0	0	2	4	0	0	0	2	1
CALCB	7	0	0	0	2	1	0	0	0	1	2	2	1	3	3
CALCOCO1	997	44	75	76.9999733	205.9997489	358.999600010782	90	97	124	565	538.9999	78	89.00003	122.9997346	716.0002
CALCOCO2	1112.2103	224.4013	383.07	576.9411	185.921	261.0241	442.2615	442.3889	526.6121	418.7009	329.0958	408.5022	454.6624	598.173	623.0306
CALCR	4.999997024	0.9999995332	0	7	4	5	0	1.0000002871	1.0000000058	0	8.000001546	2.0000021431	1	3.999999953	1.0000003894
CALCRL	2	0	2	2	1	2	1	1	1	2	1	6	4	2	1
CALD1	9	8.0000000516924	0	10.0000000112005	1	5	4	0	0	4.0000000107992	8.0000000478213	1	2	3	2.0000000468518
CALHM1	63.3218	5	7	24.1982	15.318	18.1342	17	7.06192	21	25	26	12.1651	18	15	18.0351
CALHM2	1044.99999	128.9999	139.000058679	234.0005	157	251.9996	168	190.0002	228.0005	276.000000132672	334.0002	257.9998	209.9997	399.9999	388.0004
CALHM3	0	0	2	0	1	1	3	0	0	2	1	3	2	0	0
CALM1	19281	9913	14016	18232	5301	6880	19260	20037	20164	7793	8084	23888	21760	25479	9743
CALM2	5288	3081	4266	6688	2528	2110	5460	5314	5487	2952	1926	4664	4768	5197	2463
CALM3	5025	2937	4691	6465	1636	1300	3391	4126	4668	2071	807	2207	2148	3181	1213
CALML3	0	0	0	0	1	0	0	3	0	0	0	3	0	0	0
CALML4	61	37	45	49	17	40	60	45	39	43	28.0000275	59	40	77	42.000000304454
CALML5	0	2	1	0	1	1	0	0	0	3	1	2	0	1	0
CALML6	0	2	1	3	5	2	3	1	1	2	2	0	2	3	2
CALN1	33.9983	16.6318	32.22016	32.0501	14.3978	19.48564	18.39318	10.54053	12.67027	26.2164	22.6126	27.75264	14.2371	19.69093	25.7443
CALR	11311	16396	19372	26794	4511	2638	19557	19640	20161	4401	1709	16673	16461	21592	2391
CALR3	0	5	0	3	2	2	1	0	2	3	1	2	0	3	1
CALU	813.9866	459.165188	672.9712	869.725	307.55736	241.829	701.3345356	605.78864	696.58017	382.015442	159.4839	428.30999	409.74206	569.704	253.44747
CALY	1	0	1	2	0	0	1	0	1	0	0	2	0	1	1
CAMK1	815.729	368.895	726	1183	181	310	669	775.941	965.958	437.684	232	526	464	764.688	273.807
CAMK1D	122.5006	30.96561	49.3179	68.3326	30.6002	52.8727	44.3539	32.0151	48.3617	48.0215	50.6523	51.762	50.7882	72.0077	64.2307
CAMK1G	0	1	1	0	1	0	1	0	0	2	1	0	0	0	1
CAMK2A	8.00000082	0.99999952	6	5.00000385	9.00000144	1.99999776	3.00000163	3.00000066	0	1.0000005	10	3.00000414	5.99999578	2.000004875	5.99999892
CAMK2B	12	3	6	9	7	9	11.0000379086	4	3	13	14	11	9	8.999999467	17
CAMK2D	491.0004	162.9999	204.0001	255.9995	156.0001	141.9999	161.9995	152.00011	195	263.9999	140.99999	133.000288	129.99998	176.0003	188.0003
CAMK2G	1101.99970060806	174.99987	252	475.9997	187.000104973041	243.9996	288.0001	331.99994	275.9997	262.0001	376.0003	321.0002	308.99994	364.0004	532.0001
CAMK2N1	6.37591	7.89868	6.98724	9.01824	10.6429	4.37936	4.4225	5.74605	16.0488	7.83772	8.909	7.75705	2.01948	5.58245	6.42854
CAMK2N2	2	0	3	2	0	1	6	4	2	1	4	5	2	3	0
CAMK4	225	54	91	56	64	146	95	98	92	130	90	42	66	119	95
CAMKK1	7.000000150937	12.99996153068	12.999960174032	25.999980773	11.000000662947	21.000040492395	19.99997	21.99996197956	27	24.00003146878	15	16.000000192078	14.999970368961	27.00003	4
CAMKK2	586.13143694214	278.5422262	333.65768	617.9511	261.84182	189.3690922	428.6043382	411.44043	501.7949627	320.00265927	198.729302	346.8879735	373.989609916	588.98968	239.96671
CAMKMT	63	32	22	37	15	16	35	38	59	28	25	22	21	25	40
CAMKV	0	3	1	1	6	0	0	0	5	1	2	0	1	0	0
CAMLG	980.554	180.818	241.147	696.853	271.056	319.754	260.878	354.348	432.969	464.433	272.642	245.613	238.011	314.829	437.297
CAMP	0	1	1	0	0	5	0	0	0	0	0	1	1	0	6
CAMSAP1	459	135	179	286	142	68	199	157	291	156	81	146	151	208	155
CAMSAP2	6	3	16	25	7	10	6	1	5	9	10	4	7	4	8
CAMSAP3	2	2	5	17	3	8	4	3	1	2	7.0000000124708	5	6	11	12.0000000125545
CAMTA1	355.00017	167.99958	249.0004	318.00041	111.99995	98.00001	156.00007	166.00005	237.00027	149.00001001047	86.00003	142	163.00037	243.99955	102.99996
CAMTA2	398.99968	165	290.9995	491.0006	95	134.9996	253.0004	274.9999	280	188.0001	181.0001	202.0001	182.0001	318.00008	245.9996
CAND1	777	313	333	531	169	202	393	381	494	340	182	268	318	397	188
CAND2	3	4	6	12	2	4	12	7	7	7	15	7	6	3	1
CANT1	442	150	230	274.0004	104	102	189.0003	222	269.0004	209.0003	77	190.0004	178.9995	249.9996	99
CANX	4337.002	2270.997	2608.002	3547.005	1365.996	1524.0002653	3693.996	2999.003	3758.003	1874.998	1273.004	2551.002	2538.0000852547	3209.00269192	1917
CAP1	6802	2485.001	2900.002	4403.002	1482	2111.003	4119	3843.996	4160	3008.997	2116.999	3795.996	3782.999	4245	2945.005
CAP2	10	0	0	2	5	9	0	3	9	4	1	6	0	4	8
CAPG	6384.0008	1637.0035	2198.9993	4002.9965	1413.9974	3351.0029	4764.9977	4704.0008	5678.999	5044	1961.0009	3083.0001	2600.9953	3143.0036	2816
CAPN1	3136.99600433007	679.000500010708	815.99980483	1204.9952088385	741.99985238	1141.995050873	1071.0002	1164.99556419989	1548.00149185476	1624.00118816726	1314.9990947265	1166.000097	1160.9963264114	1851.00489031	1602.0008
CAPN10	998	238.00004	377.0003	437	177	302	426.0001	420.9996	386	400	318	316.9996	316.0004	429.0004	384.0002
CAPN11	2	1	0	3	1	0	1	0	1	2	2	3	0	4	5
CAPN12	1269.27	92.0488	63.4942	144.513	202.309	659.87	250.103	253.21	265.252	807.199	557.29	141.779	178.765	178.591	938.616
CAPN13	1	1	1	0	0	0	1	1	0	0	0	1	1	1	2
CAPN14	3	3	0	0	2	0	2	1	0	2	2	0	0	1	2
CAPN2	2895.869	728.768	538.349	1622.856	449.31	551.16	1081.857	826.475	998.904	702.96	558.314	846.487	834.384	938.749	830.559
CAPN3	31.999979171039	0	5	24.9999500412644	0	14.000010115446	1.00000038	7.00000100202	7.0000047	11.99996	11.9999994	12	12.000003223702	4.0000000846521	10.999999611186
CAPN5	4	1	3	2	4	1	1	0	4	3	5	2	0	3	1
CAPN6	0	3	0	0	1	0	0	0	0	0	1	0	0	1	0
CAPN7	193	88	76	184	62	70	90	71	99	94	113	74	83	103	147
CAPN8	1	0	1	1	2	1	0	0	0	1	3	0	0	0	1
CAPN9	3	1	1	2	1	3	1	0	1	2	2	5	1	1	2
CAPNS1	1081.0039	379.9995	725.0005	931	267.9999	358.999831	627	764.0002	848	541.99965	335.0005	628	666	971.0004	465
CAPNS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAPRIN1	1634.003	728.0001	904.0003	1520.0019	498.0001	551.0002	1057.0019	878.9997	1215.9971	656	420.9999	753.0002	742.9997	973	646.0003
CAPRIN2	266.9995	31	33	58	32.99995	27.99999	38.00001	17	42.99999	62.99997	89.99998	44	64.9999244744	77.99989	122.00014363619
CAPS	322.9998	24	26.99998	47	70	74	50	46	59.00001	167.9997	128	62	83	92.99997	195.0001
CAPS2	10	5	7	6	3	7	6	0	4	13	2	2	2	3	9
CAPSL	2	2	0	3	1	2	2	1	1	5	0	2	0	1	3
CAPZA1	4593	1578	2534	3686	1383	1397	3001	2404	3156	1883	1417	3151	2954	3517	2642
CAPZA2	1036	353	395	615	245	309	497	394	611	510	288	433	347	460	410
CAPZA3	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0
CAPZB	4252.0004	1267.0006	1738.99944	2760.9954	1030.0009	1352.99805	1876.00482	2296.0015	2858.9956	1841.0022	1501.9987	1982.00032	2193.9972	2731.998	1917.9969
CARD10	3	3	5	7	8	11	13	4	5	11	5	9	9	17	5
CARD11	1354	873	1214	2335	338	730	1675	1740	2075	880	826	1291	1190	1652	1424
CARD14	2	1	20.999967	7.000006	6.000001	4.999997	9.000007	4	6	3.000001	9.000002	12.999995	3.000001	1	13
CARD16	653.884	96.1865	145.312	254.086	146.3817	203.6398	198.2678	148.3321	237.418	290.292	219.4803	177.2028	152.1437	229.5573	306.543
CARD17	0	0	0	1	0	0	0	0	3	0	0	0	1	0	0
CARD18	0	0	0	0	0	2	2	0	0	0	0	0	0	0	2
CARD6	356.749	37.0547	35.2327	65.5154	32.5947	73.8113	48.8315	67.1418	80.794	93.0084	59.2861	50.6552	73.9992	75.5464	124.771
CARD8	1171.0811	263.066992619751	386.68350182677	619.09490453898	307.20196	453.5503973331	410.4521996036	421.7756	470.54507279	495.38811018	503.5915954	294.19727	369.159880036818	480.887700043963	718.4397
CARD9	172.99958	345	1005.00024	1205.9996	184.00024	198.00029	816.0003	887.0001	1395.0018	449.99951	131.00017	505.00038	488.9997	926	256.00023
CARHSP1	1001.2181	449.4781	568.4816	990.8061	313.5441	273.8199	539.1093	548.6835	642.5409	483.1699	292.0956	621.3615	606.378	903.8474	422.4724
CARKD	489.0000149055	163.00010001438	151.9999800711	404.0001	128.999900015165	140.00004	292.000421177147	278.0001124812	225.999600016836	243.000100062317	120.00002	197.999900199074	165.9999	255	271.0003
CARM1	138.454	103	180	248	59	57	89.923	134	170.172	91	49	106	64	146	57
CARNS1	135.0112018	15.9999667	54	108.9995937	41.4170006	47.1397	98.9999721	46.9999671	56.0000447	84.9503701	40.9999531	26.8099641	38.9999617	42.9999797	27.3071052
CARS	1505.9991	407.99955	668.0002	961.0006	300.00046	357.9998	565.0008	750.000057728	781.9996	487.00004	241.99984	498.0003	542.0009	848.00097	598
CARS2	437	280	411	601	182	128	302	307	376	226	138	263	206	360	152
CARTPT	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
CASC1	13	0	5	0	4	6	4	0	2.000002686	5.9999959	4.99999967	4	2	0	6
CASC2	9	0	1	1	1	1	0	0	1	0	1	0	1	0	1
CASC3	711.224	239.644	358	479.889	175.318	204.59	285.288	304.427	410.619	264.395	213.972	214.372	255.266	444.554	275.781
CASC4	586.688	150.2481	169.0712	305.507	127.7213	191.066	229.228	231.6683	202.9029	253.857	237.4947	198.7617	160.6022	302.642	218.4465042
CASC5	618.3208	213	303.1377	264	248.1469	152.3773	335.0004	195.0002	266.000000377434	182.0002	136.5562	318.0005	238.291	313.0004	170.00000717547
CASD1	95	23	11	39	38	34	59	39	30	48	54	36	26	49	54
CASK	196.9995	58	57	76	72	74	57.1306	43	64	93	86	40	49.0059	95	116
CASKIN1	4.87488	2.41553	3.84195	11.9622	9.66389	6.2551	3.64949	0	7.37172	6.77128	16.996	13.8307	8.67935	12.8462	19.3894
CASKIN2	7.11282	3.04337	3.03028	6.06537	4.03492	7.10858	12.1104	4.07172	9.08917	6.03994	8.13176	7.05713	6.07601	18.3752673318	11.0147
CASP1	831.1161	173.81342	167.6875748	238.91386	150.6183190426	245.3601	366.73252	352.6677	376.5821	395.7079766	308.5196	291.7972	284.856361661	344.44264	419.45723
CASP10	735.745462653397	96.5178551	200.0863552	236.5388546	152.493041102582	202.302394003627	188.110379299014	189.979215560362	266.0286221595	202.150375918363	296.8823147132	204.122135523126	198.5586974237	307.126504	313.686483
CASP12	0	0	2	0	1	3	1	0	0	0	0	0	0	1	0
CASP14	60.8359	13.3217	26.8764	35.0712	15.539	24.9174	21.2569	15.6082	19.7887	23.2046	21.942	20.5342	16.3526	17.4973	26.4247
CASP2	2084.3074481	681.143	672.439	1267.60200004972	562.362	477.87	780.8710329857	663.644000011541	834.503000046631	556.041665895	450.219	816.036	832.019	1210.508	747.644
CASP3	1369	516	601	825	316	449	943	665	989	558	331	625	645	836	554
CASP4	1922.9977	306.9995	364.0003	735	426.0005	633.9997	528.0004	560.9998	861.9999	785.9991	1185.9645	559.9999	671	852.0004	1723.0008
CASP5	2.00119	0	0	0	0	2	0	1	0	1.00115	0	0	0	0	2
CASP6	313.2979	91.5363	63.8702	134.35	106.3428	91.7496	109.124	109.4	157.07	131.042	112.584	83.3295	113.121	139.917	131.301
CASP7	559.21968666	237.9996533735	130.108	418.5606	119.861255	130.744736271359	332.52417	228.0003	393.6601	245.48193	131.5805	212.47092493455	232.5848	324.5012	186.10938
CASP8	718.2929	83.573063	123.93502	153.8477	131.17746743	175.26486	151.2257	140.786	198.9642	268.1818	274.478700079025	105.08705	159.99648	156.263	342.1951
CASP8AP2	703.9997	211.0001	357.9998	472.9998	168.9996	174	323.0001	269.0002	342.0002	232.9997	198	315.9998	314.9998	393.0002	299.0002
CASP9	509.0000471978	89	59	164	81.999981	60	122	145	110	160	113.00002	128	94	96.99999	197.0002
CASQ1	3	0	3	2	0	0	1	0	1	9	0	2	0	0	0
CASQ2	5	0	3	7	2	4	2	0	0	2	2	1	1	1	5
CASR	2	3	0	0	0	3	1	0	0	1	0	3	0	1	1
CASS4	430.9196	73.7379	75.809400855251	98.876226	100.499852	255.7644	159.27293	120.1818	141.6551	288.919636	356.2258	85.12433	115.5823	114.143	362.7113
CAST	2070.02	458.1835	614.1089	1041.8296	598.0462	611.8027	628.14616	584.238817	931.4791	772.3817	672.1914	597.348	622.97634	1016.112	968.4534
CASZ1	261.9998	45.99998	57	192.9995	86	114	117	112	90	136	92	135	131	186.9997	114
CAT	968	152	133	470	213	386	342	304	365	491	361	189	199	211	363
CATSPER1	251	26	57	103	56	99	35	71	77	253	94	26	24	74	174
CATSPER2	117.077005	23.60232	37.27094	37.569721	25.9235	41.6501	46.708399	22.877851	22.624495	39.4087	12.1177	19.28596	21.409626	20.4305991	27.702925
CATSPER2P1	27.0637	14.0568	9.44121	23.3195	4.5496	17.5386	14.6272	17.6831	26.834	19.8984	19.6514	10.342	10.9354	12.0453	15.5019
CATSPER3	9	8	4	5	2	3	3	0	6	6	3	1	1	4	6
CATSPER4	4	3	0	1	2	1	1	1	0	4	2	2	0	3	0
CATSPERB	2	0	2	0	2	4	2	0	4	4	3	1	2	1	3
CATSPERD	6	0	3	2	1	1	3	0	0	1	1	1	2	6	6
CATSPERG	24	5	1	2	3	6	7	4	5	4	6	8	7	13	8
CAV1	32.0000127	12	12	24	33	23.00003	12	3	6	26.99999	13.00002	9	2	6	10
CAV2	171.74	35.0667	49.9567	78.7739	52.2314	69.162	36.5788	27.95	58.1796	66.7535	72.2642	53.2932	50.2817	64.8536	69.5011
CAV3	1	0	0	4	2	0	0	0	0	2	1	0	0	1	0
CBFA2T2	482.96400655659	94.8242	109.67	267.526000060381	125.283000915248	150.5958	150.5512	134.9805894	127.388233	240.9465	162.54290120625	133.2258	134.984800346677	185.7152	245.8096
CBFA2T3	5	6	3	9	3	3	5	3	2	1	5	4	0	3	4
CBFB	634	381	387	595	205.9999	259	510	418	630	302.9995	191.0001	386	369	442	261
CBL	834.64	194.741	301.786	369.768	136.566	289.506	302.095	232.352	331.285	283.283	315.9	239.621	254.447	346.599	422.501
CBLB	2675	275	407	762	680	813	381	324	414	1107	838	338	410	565	1322
CBLC	1	1	3	1	3	1	4	2	0	2	0	3	1	1	0
CBLL1	265.0002	122.0003	86	225.0001	137.0003	108	203.0004	121.9997	217.99966	156.0004	111	151	180.9997	173.9996	267.9997
CBLN1	3	1	0	0	2	3	0	0	0	0	0	2	2	0	2
CBLN2	9	1	1	1	1	1	0	0	0	0	0	0	1	0	0
CBLN3	35	7	12	7	8	6	2	7	5	12	9	5	4	4	11
CBLN4	0	2	0	0	0	4	1	1	0	1	0	0	1	1	2
CBR1	1047.8	573.93	632.554	1383.36	209.978	226.466	725.212	841.416	973.501	407.396	162.555	671.753	627.47	973.054	274.385
CBR3	541.552	202.759	398.82	569.319	279.893	225.761	359.615	424.804	491.698	340.332	123.394	292.871	309.759	469.722	232.279
CBR3-AS1	30.44915	15.31295	7.19092	35.68231	11.10792	15.23929	17.38619	17.19637	20.3034	11.1428	9.06497	7.12918	19.2422	24.27837	13.19741
CBR4	343	54	49	123	75	82	92	63	85	105	127	50	64	87	190
CBS	8	35.000001	34	176.999759985	6	4	37.0000352	94.99995887	56	15	12	48.99999565	23	122.99996	8
CBWD1	466.9275	319.7186	574.9846	513.0865	138.9991	34.50345	183.9201	126.66749349	173.9719	56.49982	63.24048	186.5218	129.50457	183.0997	46.2677
CBWD2	352.305	143.389	242.344	276.731	102.079	100.949	117.991	140.763	155.61	122.12	61.6374	180.64	109.086	140.392	94.8237
CBWD3	40.55747478	56.0735	97.4772	186.8904	90.3515	61.799	215.05	142.1104	385.126	102.01	79.2603	213.525	209.451	320.893	116.865
CBWD5	123.664	62.4016	22.418	80.4209	1.4468e-06	46.2243	11.0706	74.8365	3.56012	40.6175	18.4234	113.485	79.6077	68.9873	29.1943
CBWD6	100.545	23.4172	28.7767	31.8708	31.5696	23.5243	65.9688	29.623	9.7318	24.753	46.4384	79.8276	94.3514	72.628	68.8494
CBX1	609.9997	233.9997	383.00026	684.9998	258.00002	161.00031	269.0003	322.99952	452.99971	177.99955	74.00002	218.99995	228.0004	409.0002	129.99959
CBX2	51.99998	13	17	105	12	13	49	29	16	41	5	18	23.00001	20.00001	6
CBX3	2218.007	1219.29	1581.9865	2196.623	773.0964	763.57	1711.004	1449	1969.999	912.4796	704.0246	1404.004	1425.6344	1941.958	1018.038
CBX3P2	20.3517	3.72363	8.10655	9.58557	5.88082	3.24358	6	3.70789	23.6469	19.418	10.4173	7.9526	2	19.0973	23.4788
CBX4	57	24	23	86	18	32	33.195	27	46	49.6598	63.4615	35	58.426	66	48.3204
